t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
18403200,39566533.34,7524629.587,-5.582729338e+10,-2860637507,1.030845479e+11,-3.452554102e+10,-1.274735435e+11,-7.934567706e+10,-8.689982935e+10,2.079980134e+11,7.415367904e+11,2.36545153e+11,1.421966329e+12,1.778747522e+11,2.87226039e+12,1.252864007e+11,4.502884077e+12,1.006572754e+11
18489600,39920675.98,7594577.038,-5.560427057e+10,-7094263016,1.0396456e+11,-3.164320911e+10,-1.261166611e+11,-8.152037533e+10,-8.88337105e+10,2.071727136e+11,7.411924774e+11,2.37619921e+11,1.421862868e+12,1.787055709e+11,2.87223467e+12,1.258742273e+11,4.502873599e+12,1.011297669e+11
18576000,40276481.18,7664886.28,-5.506885275e+10,-1.128801758e+10,1.047642496e+11,-2.873641319e+10,-1.247228881e+11,-8.367123352e+10,-9.075990164e+10,2.063294918e+11,7.408466071e+11,2.386941896e+11,1.421758926e+12,1.795363297e+11,2.872208831e+12,1.264620487e+11,4.502863072e+12,1.016022574e+11
18662400,40633952.12,7735559.284,-5.422666455e+10,-1.541889367e+10,1.054829086e+11,-2.580737512e+10,-1.232926456e+11,-8.579763197e+10,-9.267823553e+10,2.054684197e+11,7.404991804e+11,2.397679564e+11,1.421654504e+12,1.803670282e+11,2.872182871e+12,1.270498648e+11,4.502852497e+12,1.020747468e+11
18748800,40993092.13,7806598.223,-5.308499528e+10,-1.946463609e+10,1.061198894e+11,-2.285833877e+10,-1.218263652e+11,-8.789895854e+10,-9.458854557e+10,2.045895705e+11,7.401501979e+11,2.408412192e+11,1.4215496e+12,1.811976661e+11,2.872156791e+12,1.276376756e+11,4.502841872e+12,1.02547235e+11
18835200,41353904.69,7878005.483,-5.165269819e+10,-2.340385399e+10,1.066746058e+11,-1.989156845e+10,-1.203244883e+11,-8.997460874e+10,-9.649066587e+10,2.036930189e+11,7.397996604e+11,2.419139757e+11,1.421444216e+12,1.820282432e+11,2.87213059e+12,1.282254811e+11,4.502831199e+12,1.030197222e+11
18921600,41716393.37,7949783.681,-4.994008436e+10,-2.721611952e+10,1.071465333e+11,-1.690934728e+10,-1.187874666e+11,-9.202398595e+10,-9.838443122e+10,2.027788413e+11,7.394475686e+11,2.429862237e+11,1.421338352e+12,1.828587591e+11,2.87210427e+12,1.288132812e+11,4.502820476e+12,1.034922082e+11
19008000,42080561.88,8021935.668,-4.795881296e+10,-3.08820532e+10,1.075352103e+11,-1.391397554e+10,-1.172157613e+11,-9.404650153e+10,-1.002696771e+11,2.018471156e+11,7.390939232e+11,2.44057961e+11,1.421232006e+12,1.836892136e+11,2.87207783e+12,1.294010761e+11,4.502809705e+12,1.039646931e+11
19094400,42446413.95,8094464.546,-4.572177936e+10,-3.438339646e+10,1.078402387e+11,-1.090776897e+10,-1.156098432e+11,-9.6041575e+10,-1.021462399e+11,2.008979213e+11,7.387387249e+11,2.451291852e+11,1.42112518e+12,1.845196065e+11,2.872051269e+12,1.299888655e+11,4.502798885e+12,1.044371769e+11
19180800,42813953.42,8167373.668,-4.324300266e+10,-3.770307219e+10,1.080612839e+11,-7893057100,-1.139701927e+11,-9.800863417e+10,-1.040139564e+11,1.999313393e+11,7.383819746e+11,2.461998941e+11,1.421017874e+12,1.853499374e+11,2.872024589e+12,1.305766495e+11,4.502788015e+12,1.049096596e+11
19267200,43183184.14,8240666.644,-4.053751379e+10,-4.082523374e+10,1.08198076e+11,-4872181457,-1.122972997e+11,-9.994711528e+10,-1.058726644e+11,1.989474524e+11,7.380236729e+11,2.472700855e+11,1.420910087e+12,1.861802061e+11,2.871997788e+12,1.311644281e+11,4.502777097e+12,1.053821411e+11
19353600,43554109.96,8314347.345,-3.762124523e+10,-4.37353036e+10,1.082504104e+11,-1847493846,-1.105916629e+11,-1.018564632e+11,-1.077222025e+11,1.979463445e+11,7.376638206e+11,2.48339757e+11,1.420801819e+12,1.870104122e+11,2.871970868e+12,1.317522013e+11,4.50276613e+12,1.058546215e+11
19440000,43926734.76,8388419.904,-3.451092322e+10,-4.642000237e+10,1.082181474e+11,1178645454,-1.088537905e+11,-1.037361314e+11,-1.095624099e+11,1.969281013e+11,7.373024185e+11,2.494089066e+11,1.420693071e+12,1.878405556e+11,2.871943827e+12,1.323399689e+11,4.502755114e+12,1.063271008e+11
19526400,44301062.37,8462888.712,-3.122396316e+10,-4.886736908e+10,1.081012136e+11,4203869501,-1.070841992e+11,-1.055855825e+11,-1.113931267e+11,1.9589281e+11,7.369394673e+11,2.504775318e+11,1.420583843e+12,1.886706359e+11,2.871916666e+12,1.329277311e+11,4.502744049e+12,1.067995789e+11
19612800,44677096.6,8537758.42,-2.77783687e+10,-5.10667739e+10,1.078996017e+11,7225806521,-1.052834146e+11,-1.074042878e+11,-1.13214194e+11,1.948405591e+11,7.365749678e+11,2.515456305e+11,1.420474134e+12,1.895006528e+11,2.871889385e+12,1.335154878e+11,4.502732935e+12,1.072720558e+11
19699200,45054841.17,8613033.932,-2.419263482e+10,-5.300892396e+10,1.07613371e+11,1.024208176e+10,-1.03451971e+11,-1.09191728e+11,-1.150254533e+11,1.93771439e+11,7.362089206e+11,2.526132004e+11,1.420363945e+12,1.903306061e+11,2.871861984e+12,1.341032388e+11,4.502721772e+12,1.077445316e+11
19785600,45434299.76,8688720.405,-2.048565519e+10,-5.468586342e+10,1.072426476e+11,1.325031937e+10,-1.01590411e+11,-1.109473929e+11,-1.168267474e+11,1.926855412e+11,7.358413267e+11,2.536802393e+11,1.420253276e+12,1.911604955e+11,2.871834462e+12,1.346909844e+11,4.50271056e+12,1.082170062e+11
19872000,45815475.94,8764823.241,-1.667663395e+10,-5.609096837e+10,1.067876246e+11,1.624814429e+10,-9.96992854e+10,-1.126707818e+11,-1.186179198e+11,1.915829589e+11,7.354721867e+11,2.547467449e+11,1.420142127e+12,1.919903207e+11,2.871806821e+12,1.352787243e+11,4.502699299e+12,1.086894796e+11
19958400,46198373.19,8841348.081,-1.278500172e+10,-5.72189376e+10,1.062485624e+11,1.923318416e+10,-9.777915316e+10,-1.143614035e+11,-1.203988146e+11,1.904637867e+11,7.351015014e+11,2.55812715e+11,1.420030497e+12,1.928200814e+11,2.87177906e+12,1.358664586e+11,4.502687989e+12,1.091619519e+11
20044800,46582994.84,8918300.802,-8830335988,-5.806577976e+10,1.056257886e+11,2.220307124e+10,-9.583058119e+10,-1.160187765e+11,-1.221692773e+11,1.893281209e+11,7.347292717e+11,2.568781474e+11,1.419918387e+12,1.936497774e+11,2.871751178e+12,1.364541872e+11,4.50267663e+12,1.09634423e+11
20131200,46969344.12,8995687.506,-4832285459,-5.862879764e+10,1.049196983e+11,2.515544435e+10,-9.385414415e+10,-1.176424289e+11,-1.239291539e+11,1.881760588e+11,7.343554982e+11,2.579430397e+11,1.419805797e+12,1.944794083e+11,2.871723177e+12,1.370419102e+11,4.502665222e+12,1.101068929e+11
20217600,47357424.09,9073514.513,-810498321.5,-5.890657016e+10,1.041307538e+11,2.808795085e+10,-9.185042432e+10,-1.192318989e+11,-1.256782915e+11,1.870076997e+11,7.339801818e+11,2.590073897e+11,1.419692727e+12,1.953089739e+11,2.871695055e+12,1.376296274e+11,4.502653766e+12,1.105793616e+11
20304000,47747237.69,9151788.356,3215445980,-5.889893248e+10,1.032594847e+11,3.099824855e+10,-8.982001138e+10,-1.207867346e+11,-1.27416538e+11,1.85823144e+11,7.336033232e+11,2.600711953e+11,1.419579177e+12,1.96138474e+11,2.871666814e+12,1.38217339e+11,4.50264226e+12,1.110518292e+11
20390400,48138787.64,9230515.77,7226101733,-5.860695472e+10,1.023064877e+11,3.388400771e+10,-8.776350231e+10,-1.223064942e+11,-1.291437425e+11,1.846224935e+11,7.332249232e+11,2.611344542e+11,1.419465147e+12,1.969679082e+11,2.871638452e+12,1.388050448e+11,4.502630706e+12,1.115242955e+11
20476800,48532076.53,9309703.687,1.120221908e+10,-5.803291955e+10,1.012724266e+11,3.674291304e+10,-8.568150116e+10,-1.237907461e+11,-1.308597549e+11,1.834058517e+11,7.328449827e+11,2.621971641e+11,1.419350637e+12,1.977972762e+11,2.87160997e+12,1.393927448e+11,4.502619102e+12,1.119967606e+11
20563200,48927106.74,9389359.225,1.512480363e+10,-5.718029903e+10,1.001580318e+11,3.957266563e+10,-8.35746189e+10,-1.252390692e+11,-1.325644259e+11,1.821733233e+11,7.324635024e+11,2.632593228e+11,1.419235647e+12,1.986265778e+11,2.871581368e+12,1.39980439e+11,4.502607449e+12,1.124692245e+11
20649600,49323880.44,9469489.678,1.897517396e+10,-5.605373076e+10,9.896410003e+10,4.237098495e+10,-8.144347324e+10,-1.266510528e+11,-1.342576076e+11,1.809250145e+11,7.320804831e+11,2.643209281e+11,1.419120177e+12,1.994558128e+11,2.871552646e+12,1.405681274e+11,4.502595748e+12,1.129416872e+11
20736000,49722399.63,9550102.513,2.273501735e+10,-5.465899353e+10,9.769149419e+10,4.513561085e+10,-7.928868848e+10,-1.280262964e+11,-1.359391527e+11,1.79661033e+11,7.316959256e+11,2.653819777e+11,1.419004228e+12,2.002849807e+11,2.871523804e+12,1.4115581e+11,4.502583998e+12,1.134141487e+11
20822400,50122666.07,9631205.356,2.638644421e+10,-5.300298253e+10,9.634114268e+10,4.786430556e+10,-7.711089531e+10,-1.293644106e+11,-1.376089152e+11,1.783814876e+11,7.313098307e+11,2.664424695e+11,1.418887798e+12,2.011140814e+11,2.871494842e+12,1.417434867e+11,4.502572198e+12,1.138866089e+11
20908800,50524681.3,9712805.985,2.991204141e+10,-5.109368413e+10,9.491403898e+10,5.055485562e+10,-7.49107306e+10,-1.306650164e+11,-1.3926675e+11,1.770864887e+11,7.309221992e+11,2.67502401e+11,1.418770889e+12,2.019431146e+11,2.87146576e+12,1.423311575e+11,4.50256035e+12,1.143590679e+11
20995200,50928446.62,9794912.323,3.329492505e+10,-4.894015003e+10,9.341124114e+10,5.320507387e+10,-7.268883731e+10,-1.319277458e+11,-1.40912513e+11,1.757761481e+11,7.305330319e+11,2.685617703e+11,1.4186535e+12,2.027720799e+11,2.871436557e+12,1.429188224e+11,4.502548453e+12,1.148315257e+11
21081600,51333963.13,9877532.425,3.651879289e+10,-4.65524709e+10,9.183387106e+10,5.581280145e+10,-7.044586421e+10,-1.331522416e+11,-1.425460613e+11,1.744505789e+11,7.301423297e+11,2.696205749e+11,1.418535632e+12,2.036009771e+11,2.871407235e+12,1.435064813e+11,4.502536507e+12,1.153039822e+11
21168000,51741231.64,9960674.474,3.956797667e+10,-4.394174903e+10,9.018311387e+10,5.837590971e+10,-6.818246577e+10,-1.343381577e+11,-1.44167253e+11,1.731098954e+11,7.297500934e+11,2.706788128e+11,1.418417284e+12,2.04429806e+11,2.871377792e+12,1.440941343e+11,4.502524511e+12,1.157764375e+11
21254400,52150252.74,10044346.77,4.242749478e+10,-4.112007002e+10,8.846021715e+10,6.089230218e+10,-6.589930196e+10,-1.354851591e+11,-1.457759472e+11,1.717542136e+11,7.293563237e+11,2.717364816e+11,1.418298456e+12,2.052585662e+11,2.87134823e+12,1.446817813e+11,4.502512467e+12,1.162488915e+11
21340800,52561026.73,10128557.71,4.508310534e+10,-3.810047305e+10,8.66664901e+10,6.335991648e+10,-6.359703803e+10,-1.365929217e+11,-1.473720042e+11,1.703836505e+11,7.289610215e+11,2.727935791e+11,1.418179149e+12,2.060872575e+11,2.871318547e+12,1.452694222e+11,4.502500374e+12,1.167213443e+11
21427200,52973553.66,10213315.8,4.752135992e+10,-3.489691946e+10,8.480330266e+10,6.577672625e+10,-6.127634439e+10,-1.376611329e+11,-1.489552855e+11,1.689983245e+11,7.285641876e+11,2.738501031e+11,1.418059362e+12,2.069158796e+11,2.871288745e+12,1.458570571e+11,4.502488232e+12,1.171937958e+11
21513600,53387833.32,10298629.64,4.972965804e+10,-3.152425926e+10,8.287208458e+10,6.8140743e+10,-5.893789635e+10,-1.386894914e+11,-1.505256535e+11,1.675983554e+11,7.281658229e+11,2.749060515e+11,1.417939096e+12,2.077444322e+11,2.871258822e+12,1.46444686e+11,4.502476041e+12,1.176662461e+11
21600000,53803865.18,10384507.88,5.16963026e+10,-2.799819515e+10,8.087432437e+10,7.045001804e+10,-5.658237402e+10,-1.396777072e+11,-1.520829719e+11,1.661838643e+11,7.277659282e+11,2.759614219e+11,1.41781835e+12,2.08572915e+11,2.871228779e+12,1.470323088e+11,4.502463802e+12,1.18138695e+11
21686400,54221648.46,10470959.26,5.341055605e+10,-2.433524361e+10,7.881156826e+10,7.270264425e+10,-5.421046204e+10,-1.406255017e+11,-1.536271055e+11,1.647549735e+11,7.273645043e+11,2.770162121e+11,1.417697125e+12,2.094013278e+11,2.871198616e+12,1.476199254e+11,4.502451513e+12,1.186111427e+11
21772800,54641182.04,10557992.56,5.48626975e+10,-2.055269254e+10,7.668541902e+10,7.489675795e+10,-5.182284945e+10,-1.41532608e+11,-1.551579202e+11,1.633118065e+11,7.26961552e+11,2.780704199e+11,1.417575421e+12,2.102296702e+11,2.871168334e+12,1.482075359e+11,4.502439175e+12,1.190835892e+11
21859200,55062464.54,10645616.62,5.604408043e+10,-1.666855494e+10,7.44975348e+10,7.703054067e+10,-4.942022948e+10,-1.423987706e+11,-1.566752831e+11,1.618544883e+11,7.265570723e+11,2.791240432e+11,1.417453237e+12,2.110579421e+11,2.871137931e+12,1.487951403e+11,4.502426788e+12,1.195560343e+11
21945600,55485494.25,10733840.29,5.694719091e+10,-1.270151819e+10,7.224962781e+10,7.910222087e+10,-4.700329935e+10,-1.432237459e+11,-1.581790626e+11,1.603831451e+11,7.261510659e+11,2.801770797e+11,1.417330574e+12,2.118861431e+11,2.871107408e+12,1.493827385e+11,4.502414353e+12,1.200284781e+11
22032000,55910269.13,10822672.45,5.756570597e+10,-8670888268,6.994346305e+10,8.111007572e+10,-4.45727601e+10,-1.440073016e+11,-1.596691281e+11,1.588979041e+11,7.257435337e+11,2.812295271e+11,1.417207432e+12,2.127142729e+11,2.871076765e+12,1.499703304e+11,4.502401868e+12,1.205009207e+11
22118400,56336786.83,10912121.99,5.789455166e+10,-4596528481,6.758085689e+10,8.305243271e+10,-4.212931641e+10,-1.447492175e+11,-1.611453505e+11,1.573988939e+11,7.253344765e+11,2.822813833e+11,1.417083811e+12,2.135423313e+11,2.871046001e+12,1.505579161e+11,4.502389334e+12,1.209733619e+11
22204800,56765044.67,11002197.76,5.792996045e+10,-498792163.2,6.516367561e+10,8.492767134e+10,-3.967367635e+10,-1.454492851e+11,-1.626076016e+11,1.558862445e+11,7.249238953e+11,2.83332646e+11,1.41695971e+12,2.14370318e+11,2.871015118e+12,1.511454956e+11,4.502376752e+12,1.214458018e+11
22291200,57195039.62,11092908.62,5.76695272e+10,3601551168,6.269383392e+10,8.673422471e+10,-3.720655127e+10,-1.461073077e+11,-1.640557546e+11,1.543600868e+11,7.245117907e+11,2.843833131e+11,1.416835131e+12,2.151982326e+11,2.870984115e+12,1.517330688e+11,4.502364121e+12,1.219182404e+11
22377600,57626768.32,11184263.35,5.711226297e+10,7683396580,6.01732934e+10,8.847058105e+10,-3.472865555e+10,-1.467231007e+11,-1.654896839e+11,1.528205531e+11,7.240981639e+11,2.854333823e+11,1.416710073e+12,2.16026075e+11,2.870952992e+12,1.523206356e+11,4.50235144e+12,1.223906777e+11
22464000,58060227.05,11276270.69,5.625864595e+10,1.172539181e+10,5.760406085e+10,9.013528525e+10,-3.224070641e+10,-1.472964912e+11,-1.669092652e+11,1.512677767e+11,7.236830155e+11,2.864828514e+11,1.416584535e+12,2.168538449e+11,2.870921749e+12,1.529081962e+11,4.502338711e+12,1.228631137e+11
